Category,Category_id,Subcategory,Subcateogory_id,Amount,Year
健康福祉,1,社会福祉費,1,8857636,2011
健康福祉,1,児童福祉費,2,11806818,2011
健康福祉,1,生活保護費,3,20973733,2011
健康福祉,1,災害救助費,4,3750,2011
健康福祉,1,社会福祉施設整備資金費,5,6500,2011
健康福祉,1,住宅福祉ふれあい資金費,6,36552,2011
健康福祉,1,国民健康保険費,7,2785000,2011
健康福祉,1,介護保険費,8,3168442,2011
健康福祉,1,母子寡婦福祉資金貸付費,9,42000,2011
健康福祉,1,保健衛生費,10,1635179,2011
健康福祉,1,老人保健費,11,6366,2011
健康福祉,1,後期高齢者医療費,12,4038141,2011
子育て・教育,2,教育総務費,13,739446,2011
子育て・教育,2,小学校費,14,1535311,2011
子育て・教育,2,中学校費,15,979517,2011
子育て・教育,2,義務教育施設整備費,16,1383000,2011
子育て・教育,2,高等学校費,17,82380,2011
子育て・教育,2,幼稚園費,18,20090,2011
子育て・教育,2,保険体育費,19,183530,2011
子育て・教育,2,奨学費,20,12787,2011
子育て・教育,2,育英費,21,2640,2011
子育て・教育,2,青少年芸術教育奨励費,22,2785,2011
子育て・教育,2,スポーツ振興資金費,23,2800,2011
街づくり,3,土木管理費,24,18229,2011
街づくり,3,道路橋梁費,25,2457924,2011
街づくり,3,河川費,26,355037,2011
街づくり,3,都市計画費,27,2407865,2011
街づくり,3,建築管理費,28,42550,2011
街づくり,3,住宅費,29,1247501,2011
街づくり,3,空港費,30,67495,2011
街づくり,3,港湾費,31,2466000,2011
環境,4,清掃費,32,2730034,2011
環境,4,地球温暖化対策資金費,33,68096,2011
市民,5,労働諸費,34,933880,2011
市民,5,社会教育費,35,2109343,2011
経済・観光,6,農林費,36,288457,2011
経済・観光,6,水産費,37,420140,2011
経済・観光,6,地方卸売市場費,38,151000,2011
経済・観光,6,商工費,39,7961571,2011
経済・観光,6,西部地区歴史的町並み資金費,40,28390,2011
消防,7,消防費,41,1269704,2011
上下水道,8,下水道費,42,43000,2011
政策,9,議会費,43,536383,2011
政策,9,総務管理費,44,4253671,2011
政策,9,徴税費,45,305179,2011
政策,9,戸籍住民基本台帳費,46,125708,2011
政策,9,選挙費,47,190409,2011
政策,9,統計調査費,48,20463,2011
政策,9,監査委員費,49,8925,2011
政策,9,国際交流資金費,50,9894,2011
政策,9,基金費,51,194477,2011
政策,9,職員費,52,21416045,2011
政策,9,予備費,53,100000,2011
公営企業,10,公営企業費,54,5729229,2011
